studyId,siteName,isPoly,latDD (float),lonDD (float),polyWKT (string),collectionYear,latestYear,earliestYear,genus,species,subspecies,auth,studyTitle (string),investigators (string),webLocation (string),added
database_itrdb_cana049,Dorothea Lake,FALSE,54.2,-61.57,,1988,1988,1790,Picea,glauca,,(Moench) Voss,Schweingruber - Dorothea Lake - PCGL - ITRDB CANA049,"Schweingruber, F.H.",https://doi.org/10.25921/j8vs-sk57,FALSE
database_itrdb_cana050,Mountain Lake Newfoundland,FALSE,53.48,-58.67,,1988,1988,1709,Picea,glauca,,(Moench) Voss,Schweingruber - Mountain Lake Newfoundland - PCGL - ITRDB CANA050,"Schweingruber, F.H.",https://doi.org/10.25921/xzmh-bx98,FALSE
database_itrdb_cana051,Mountain Lake Newfoundland Ufe,FALSE,53.48,-58.67,,1988,1988,1794,Picea,glauca,,(Moench) Voss,Schweingruber - Mountain Lake Newfoundland Ufe - PCGL - ITRDB CANA051,"Schweingruber, F.H.",https://doi.org/10.25921/en1h-me89,FALSE
database_itrdb_cana052,Bras d'Or Lake (Insel),FALSE,62.45,-116.13,,1988,1988,1759,Picea,glauca,,(Moench) Voss,Schweingruber - Bras d'Or Lake (Insel) - PCGL - ITRDB CANA052,"Schweingruber, F.H.",https://doi.org/10.25921/y1mc-kd55,FALSE
database_itrdb_cana053,Pethai Peninsula,FALSE,62.68,-110.97,,1988,1988,1610,Picea,glauca,,(Moench) Voss,Schweingruber - Pethai Peninsula - PCGL - ITRDB CANA053,"Schweingruber, F.H.",https://doi.org/10.25921/67mx-ny07,FALSE
database_itrdb_cana057,Fort Simpson McKenzie River Unstable Slope,FALSE,61.68,-120.72,,1988,1988,1807,Picea,glauca,,(Moench) Voss,Schweingruber - Fort Simpson McKenzie R. Unstable Slope - PCGL - ITRDB CANA057,"Schweingruber, F.H.",https://doi.org/10.25921/6s6m-0x76,FALSE
database_itrdb_cana058,Austin Lake,FALSE,62.17,-110.08,,1988,1988,1818,Picea,glauca,,(Moench) Voss,Schweingruber - Austin Lake - PCGL - ITRDB CANA058,"Schweingruber, F.H.",https://doi.org/10.25921/f6n1-3n22,FALSE
database_itrdb_cana060,Churchill,FALSE,58.67,-93.48,,1988,1988,1690,Picea,glauca,,(Moench) Voss,Schweingruber - Churchill - PCGL - ITRDB CANA060,"Schweingruber, F.H.",https://doi.org/10.25921/fg16-cn95,FALSE
database_itrdb_cana063,Wakuach Lake,FALSE,55.28,-67.12,,1988,1988,1695,Picea,glauca,,(Moench) Voss,Schweingruber - Wakuach Lake - PCGL - ITRDB CANA063,"Schweingruber, F.H.",https://doi.org/10.25921/d972-np23,FALSE
database_itrdb_cana074,Buffalo Lake,FALSE,60.28,-115.27,,1988,1988,1842,Picea,glauca,,(Moench) Voss,Schweingruber - Buffalo Lake - PCGL - ITRDB CANA074,"Schweingruber, F.H.",https://doi.org/10.25921/vgep-zz12,FALSE
database_itrdb_cana089,Fort Nelson,FALSE,58.33,-122.83,,1983,1983,1817,Picea,glauca,,(Moench) Voss,Schweingruber - Fort Nelson - PCGL - ITRDB CANA089,"Schweingruber, F.H.",https://doi.org/10.25921/5gnm-jz84,FALSE
database_itrdb_cana117,Discovery Ridge (Trees less 200 years),FALSE,65.35,-126.7,,1991,1991,1409,Picea,glauca,,(Moench) Voss,Szeicz - Discovery Ridge (Trees less 200 years) - PCGL - ITRDB CANA117,"Szeicz, J.M.; MacDonald, G.M.",https://doi.org/10.25921/p6m9-dg97,FALSE
database_itrdb_cana118,Discovery Ridge (Trees grtr 200 years),FALSE,65.35,-126.7,,1991,1991,1620,Picea,glauca,,(Moench) Voss,Szeicz - Discovery Ridge (Trees grtr 200 years) - PCGL - ITRDB CANA118,"Szeicz, J.M.; MacDonald, G.M.",https://doi.org/10.25921/wcgd-tq26,FALSE
database_itrdb_cana119,Katherine Creek (Trees less 200 years),FALSE,64.97,-127.48,,1989,1989,1506,Picea,glauca,,(Moench) Voss,Szeicz - Katherine Creek (Trees less 200 years) - PCGL - ITRDB CANA119,"Szeicz, J.M.; MacDonald, G.M.",https://doi.org/10.25921/kww9-r077,FALSE
database_itrdb_cana120,Katherine Creek (Trees grtr 200 years),FALSE,64.97,-127.48,,1989,1989,1700,Picea,glauca,,(Moench) Voss,Szeicz - Katherine Creek (Trees grtr 200 years) - PCGL - ITRDB CANA120,"Szeicz, J.M.; MacDonald, G.M.",https://doi.org/10.25921/8mvb-7s73,FALSE
database_itrdb_cana121,Richardson Mountain (Trees less 100 years),FALSE,66.72,-136.28,,1992,1992,1547,Picea,glauca,,(Moench) Voss,Szeicz - Richardson Mountain (Trees less 100 years) - PCGL - ITRDB CANA121,"Szeicz, J.M.; MacDonald, G.M.; Lundberg, J.",https://doi.org/10.25921/7y5z-1k30,FALSE
database_itrdb_cana122,Richardson Mountain (Trees grtr 100 years),FALSE,66.72,-136.28,,1992,1992,1580,Picea,glauca,,(Moench) Voss,Szeicz - Richardson Mountain (Trees grtr 100 years) - PCGL - ITRDB CANA122,"Szeicz, J.M.; MacDonald, G.M.; Lundberg, J.",https://doi.org/10.25921/9amj-fg43,FALSE
database_itrdb_cana123,Skipping Bullet (Trees less 200 years),FALSE,64.98,-127.57,,1989,1989,1588,Picea,glauca,,(Moench) Voss,Szeicz - Skipping Bullet (Trees less 200 years) - PCGL - ITRDB CANA123,"Szeicz, J.M.; MacDonald, G.M.; Hutton, M.",https://doi.org/10.25921/1vj7-4x52,FALSE
database_itrdb_cana124,Skipping Bullet (Trees grtr 200 years),FALSE,64.98,-127.57,,1989,1989,1780,Picea,glauca,,(Moench) Voss,Szeicz - Skipping Bullet (Trees grtr 200 years) - PCGL - ITRDB CANA124,"Szeicz, J.M.; MacDonald, G.M.; Hutton, M.",https://doi.org/10.25921/9zxk-mw55,FALSE
database_itrdb_cana125,Tombstone Mountain (Trees less 100 years),FALSE,64.52,-138.32,,1992,1992,1470,Picea,glauca,,(Moench) Voss,Szeicz - Tombstone Mountain (Trees less 100 years) - PCGL - ITRDB CANA125,"Szeicz, J.M.; MacDonald, G.M.; Lundberg, J.",https://doi.org/10.25921/928v-em08,FALSE
database_itrdb_cana126,Tombstone Mountain (Trees grtr 100 years),FALSE,64.52,-138.32,,1992,1992,1530,Picea,glauca,,(Moench) Voss,Szeicz - Tombstone Mountain (Trees grtr 100 years) - PCGL - ITRDB CANA126,"Szeicz, J.M.; MacDonald, G.M.; Lundberg, J.",https://doi.org/10.25921/c545-dt03,FALSE
database_itrdb_cana129,Wood Buffalo National Park Site SF,FALSE,59.98,-112.35,,1989,1989,1833,Picea,glauca,,(Moench) Voss,Larsen - Wood Buffalo National Park Site SF - PCGL - ITRDB CANA129,"Larsen, C.; Szeicz, J.M.; Hutton, M.",https://doi.org/10.25921/sakj-dx44,FALSE
