study_id,ITRDB_Code,Study_Name,Latitude,Longitude,Elevation,Species,FirstYear,LastYear
4306,RUSS087,Schweingruber - Alagea River - LAGM - ITRDB RUSS087,68.45,147.58,140,LAGM,1579,1991
19857,CANA512,Porter - Napoiak Channel 1 Mackenzie Delta - PCGL - ITRDB CANA512,68.4333,-134.5833,2,PCGL,1580,2007
19866,CANA521,Pisaric - Deadwood Mackenzie Delta - PCGL - ITRDB CANA521,68.4333,-133.8167,2,PCGL,1483,2003
4325,RUSS063,Schweingruber - Ayandina River - LAGM - ITRDB RUSS063,68.42,143.17,45,LAGM,1553,1991
3293,RUSS192,Gervais - Kola Peninsula - PISY - ITRDB RUSS192,68.42,35.28,220,PISY,1577,1997
19858,CANA513,Porter - Napoiak Channel 2 Mackenzie Delta - PCGL - ITRDB CANA513,68.4,-134.2667,2,PCGL,1687,2007
19872,CANA527,Pisaric - Timber Site Mackenzie Delta - PCGL - ITRDB CANA527,68.4,-133.8,2,PCGL,1529,2003
23930,AK161,Ackerman - Brooks Range Upland - SAPC - ITRDB AK161,68.375,-149.295,910,SAPC,1966,2015
19853,CANA508,Porter - Jamieson Channel 1 Mackenzie Delta - PCGL - ITRDB CANA508,68.3667,-134.9667,2,PCGL,1587,2007
19862,CANA517,Porter - Schooner Channel Mackenzie Delta - PCGL - ITRDB CANA517,68.3667,-134.6667,2,PCGL,1603,2007
20742,CANA550,Porter - Thomas Creek TH1 - PCGL - ITRDB CANA550,68.3333,-140.75,339,PCGL,1650,2007
20743,CANA551,Porter - Timber Creek TM1 - PCGL - ITRDB CANA551,68.3333,-139.7167,315,PCGL,1631,2007
6126,SWED329,Hoogesteger - Abisko Valley - BEPU - ITRDB SWED329,68.33,18.8,470,BEPU,1820,1983
19864,CANA519,Porter - West Channel 2 Mackenzie Delta - PCGL - ITRDB CANA519,68.3167,-135.2,2,PCGL,1474,2007
31112,CANA612,Sniderhan - Inuvik - PCMA - ITRDB CANA612,68.31472,-133.4583,100,PCMA,1860,2014
19846,CANA503,Porter - Aklavik Channel 2 Mackenzie Delta - PCGL - ITRDB CANA503,68.2833,-134.7833,2,PCGL,1716,2006
5093,CANA138,Szeicz - Campbell Dolomite Upland - PCGL - ITRDB CANA138,68.27,-133.33,120,PCGL,1060,1992
4364,CANA172,Schweingruber - Campbell Dolomite Upland B fos. - PCGL - ITRDB CANA172,68.27,-133.33,120,PCGL,1175,1828
4363,CANA173,Schweingruber - Campbell Dolomite Upland B - PCGL - ITRDB CANA173,68.27,-133.33,120,PCGL,1466,1992
19850,CANA505,Porter - Campbell Dolomite Uplands 1 Mackenzie Delta - PCGL - ITRDB CANA505,68.2667,-133.4,130,PCGL,1158,2007
19856,CANA511,Porter - Kalinek Channel 2 Mackenzie Delta - PCGL - ITRDB CANA511,68.2667,-134.15,2,PCGL,1596,2007
19845,CANA502,Porter - Aklavik Channel 1 Mackenzie Delta - PCGL - ITRDB CANA502,68.25,-134.7333,2,PCGL,1631,2006
4438,RUSS027,Schweingruber - Indikyakha-River - LASI - ITRDB RUSS027,68.25,80.18,60,LASI,1592,1990
4684,SWED019,"Schweingruber - Tornetr‰sk r+f., Bartoli - PISY - ITRDB SWED019",68.23,19.67,400,PISY,441,1980
4685,SWED020,"Schweingruber - Tornetr‰sk rez., Bartoli - PISY - ITRDB SWED020",68.23,19.67,400,PISY,1400,1980
4683,SWED021,"Schweingruber - Tornetr‰sk fos., Bartoli - PISY - ITRDB SWED021",68.23,19.67,400,PISY,441,1936
13792,FINL072,Frank - Ketomella PK - PISY - ITRDB FINL072,68.22,24.05,300,PISY,1724,2006
13793,FINL073,Frank - Ketomella PT - PISY - ITRDB FINL073,68.22,24.05,300,PISY,1572,2006
13794,FINL074,Frank - Ketomella PW - PISY - ITRDB FINL074,68.22,24.05,300,PISY,1569,2006
20737,CANA546,Porter - Old Crow River site OC54 - PCGL - ITRDB CANA546,68.2167,-140.0833,292,PCGL,1615,2007
17262,SWED334,Grudd - Tornetr‰sk - PISY - ITRDB SWED334,68.2167,19.75,400,PISY,-5407,2010
14030,SWED332,Frank - Tornetr‰sk TR - PISY - ITRDB SWED332,68.2,19.8,390,PISY,1796,2005
14031,SWED333,Frank - Tornetr‰sk TW - PISY - ITRDB SWED333,68.2,19.8,390,PISY,1800,2006
20745,CANA552,Porter - Timber Creek TM2 - PCGL - ITRDB CANA552,68.1667,-139.7833,305,PCGL,1522,2007
19851,CANA506,Porter - Campbell Dolomite Uplands 2 Mackenzie Delta - PCGL - ITRDB CANA506,68.15,-133.7667,25,PCGL,1118,2007
19861,CANA516,Porter - Peel Channel Mackenzie Delta - PCGL - ITRDB CANA516,68.15,-135.15,2,PCGL,1615,2007
19852,CANA507,Porter - Esau Channel Mackenzie Delta - PCGL - ITRDB CANA507,68.1333,-134.7667,2,PCGL,1607,2007
20732,CANA542,Porter - Old Crow River site OC50 - PCGL - ITRDB CANA542,68.1333,-139.9333,282,PCGL,1668,2007
2855,FINL058,Briffa - Sompio - PISY - ITRDB FINL058,68.13,27.45,330,PISY,1560,1983
4659,RUSS026,Schweingruber - Solenoya-River - LASI - ITRDB RUSS026,68.12,85.05,130,LASI,1637,1990
19855,CANA510,Porter - Kalinek Channel 1 Mackenzie Delta - PCGL - ITRDB CANA510,68.1167,-134.1667,2,PCGL,1445,2007
5256,AK047,Wilmking - Firth River - PCGL - ITRDB AK047,68.1,-141.1,100,PCGL,1676,2002
3642,AK053,Joergenson - Sheenjek River - PCGL - ITRDB AK053,68.08,-143.13,100,PCGL,1715,2000
4021,FINL045,Meril‰inen - Vuotso GSF - PISY - ITRDB FINL045,68.07,27.2,-999,PISY,1740,2001
20733,CANA543,Porter - Old Crow River site OC51 - PCGL - ITRDB CANA543,68.0667,-139.7833,272,PCGL,1680,2007
20734,CANA544,Porter - Old Crow River site OC52 - PCGL - ITRDB CANA544,68.05,-139.5833,269,PCGL,1749,2007
3886,AK085,Lloyd - Dalton Highway Mile Post 235 - PCGL - ITRDB AK085,68.03,-149.68,810,PCGL,1806,2005
4580,FINL020,Schweingruber - Palasjarvi Palastunturi - PCAB - ITRDB FINL020,68.03,24.1,270,PCAB,1782,1978
2841,FINL064,Briffa - Pallasmaja - PISY - ITRDB FINL064,68,24.2,290,PISY,1657,1983
32564,AK187,Gaglioti - Noatak Alder Unburned - ALSP - ITRDB AK187,67.991609,-162.003299,117,ALSP,1936,2017
32563,AK186,Gaglioti - Noatak Alder Twice Burned - ALSP - ITRDB AK186,67.986404,-161.973789,119,ALSP,1980,2017
32562,AK185,Gaglioti - Noatak Alder Once Burned - ALSP - ITRDB AK185,67.982804,-161.978916,92,ALSP,1979,2017
4486,RUSS028,Schweingruber - Kulyumbe River - LASI - ITRDB RUSS028,67.97,88.92,160,LASI,1574,1990
4487,RUSS030,Schweingruber - Kulyumbe River - PCOB - ITRDB RUSS030,67.97,88.92,160,PCOB,1661,1990
12451,AK104,Jacoby - Dalton Highway - PCGL - ITRDB AK104,67.9667,-149.7667,701,PCGL,1303,2000
20718,CANA538,Porter - Johnson Creek site JC1 - PCGL - ITRDB CANA538,67.95,-139.1333,286,PCGL,1744,2007
3593,AK031,Jacoby - Four Twelve with Revisit - PCGL - ITRDB AK031,67.93,-162.3,126,PCGL,1524,1990
12467,AK109,Jacoby - 412/Noatak - PCGL - ITRDB AK109,67.9167,-162.3,750,PCGL,1524,1990
14028,SWED330,Frank - Kiruna - PISY - ITRDB SWED330,67.9,20.1,430,PISY,1775,2006
14029,SWED331,Frank - Kiruna KW - PISY - ITRDB SWED331,67.9,20.1,430,PISY,1656,2006
34206,SWED342,Esper - Kiruna Wet - PISY - ITRDB SWED342,67.9,20.1,451,PISY,1800,2009
34207,SWED343,Esper - Kiruna Dry - PISY - ITRDB SWED343,67.9,20.1,451,PISY,1809,2009
3464,SWED009,Harlan - Arosjak - PISY - ITRDB SWED009,67.87,19.42,762,PISY,1614,1971
20735,CANA545,Porter - Old Crow River site OC53 - PCGL - ITRDB CANA545,67.85,-139.6,265,PCGL,1648,2007
4714,RUSS110,"Schweingruber - Verchoyansk,Cakker river - LAGM - ITRDB RUSS110",67.83,130.83,750,LAGM,1669,1991
16792,RUSS237,Esper - More Ju - PCOB - ITRDB RUSS237,67.8167,60.0167,75,PCOB,1751,2000
20717,CANA537,Porter - Porcupine River Downstream site DP31 - PCGL - ITRDB CANA537,67.8,-140.4333,245,PCGL,1617,2007
20741,CANA549,Porter - Schaeffer Creek headwaters SC1 - PCGL - ITRDB CANA549,67.75,-140.5167,647,PCGL,1537,2007
20731,CANA541,Porter - Old Crow River site OC10 - PCGL - ITRDB CANA541,67.7167,-139.8167,259,PCGL,1719,2006
20730,CANA540,Porter - Old Crow River site OC9 - PCGL - ITRDB CANA540,67.7,-139.8167,267,PCGL,1618,2007
6129,SWED319,Linderholm - Angerusj‰rvi - PISY - ITRDB SWED319,67.63,21.77,280,PISY,1656,1998
3971,NORW012,Melvin - Borealoa River - PISY - ITRDB NORW012,67.62,15.73,160,PISY,1550,1997
4680,RUSS113,Schweingruber - Tirekhtjakh river - LAGM - ITRDB RUSS113,67.62,137.47,350,LAGM,1565,1991
3972,NORW011,Melvin - Rorstaddalen - PISY - ITRDB NORW011,67.6,15.33,90,PISY,1550,1997
20719,CANA539,Porter - Old Crow River site OC2 - PCGL - ITRDB CANA539,67.5833,-139.75,258,PCGL,1691,2007
3885,AK084,Lloyd - Dalton Highway Mile Post 201 - PCMA - ITRDB AK084,67.57,-149.82,469,PCMA,1912,2001
13789,FINL069,Frank - Kes‰nkij‰rvi - PISY - ITRDB FINL069,67.56,24.3,450,PISY,1475,2006
3884,AK083,Lloyd - Dalton Highway Mile Post 200 - PCMA - ITRDB AK083,67.55,-149.83,443,PCMA,1912,2001
20739,CANA547,Porter - Porcupine River Upstream site PC17 - PCGL - ITRDB CANA547,67.55,-139.4167,251,PCGL,1803,2006
20740,CANA548,Porter - Porcupine River Upstream site PC18 - PCGL - ITRDB CANA548,67.5333,-139.3167,251,PCGL,1686,2006
20746,CANA553,Porter - Porcupine River Downstream site DP21 - PCGL - ITRDB CANA553,67.5333,-139.9333,251,PCGL,1657,2007
3883,AK082,Lloyd - Dalton Highway Mile Post 199 - PCMA - ITRDB AK082,67.53,-149.85,455,PCMA,1815,2001
20712,CANA532,Porter - Porcupine River Downstream site DP24 - PCGL - ITRDB CANA532,67.5167,-139.9667,249,PCGL,1735,2006
20713,CANA533,Porter - Porcupine River Downstream site DP25 - PCGL - ITRDB CANA533,67.5167,-139.9833,251,PCGL,1759,2006
20714,CANA534,Porter - Porcupine River Downstream site DP26 - PCGL - ITRDB CANA534,67.5167,-140,243,PCGL,1728,2006
13706,AK113,D'Arrigo - NW North Alaska Composite - PCGL - ITRDB AK113,67.5,-150,,PCGL,952,2000
20711,CANA531,Porter - Porcupine River Downstream site DP23 - PCGL - ITRDB CANA531,67.5,-139.9667,249,PCGL,1711,2007
20715,CANA535,Porter - Porcupine River Downstream site DP27 - PCGL - ITRDB CANA535,67.5,-140.05,243,PCGL,1608,2007
13790,FINL070,Frank - Luosu PI - PISY - ITRDB FINL070,67.5,24.15,300,PISY,1844,2006
13791,FINL071,Frank - Luosu PS - PISY - ITRDB FINL071,67.5,24.15,300,PISY,1653,2006
15339,RUSS223,Hantemirov - Yamal - LASI - ITRDB RUSS223,67.5,70,30,LASI,-764,2005
18195,AK148,Sullivan - Agashashok Treeline - PCGL - ITRDB AK148,67.4833,-162.2167,125,PCGL,1855,2012
18196,AK149,Sullivan - Agashashok Forest - PCGL - ITRDB AK149,67.4833,-162.2167,120,PCGL,1814,2012
20716,CANA536,Porter - Porcupine River Downstream site DP30 - PCGL - ITRDB CANA536,67.4833,-140.3167,244,PCGL,1552,2007
4461,RUSS092,Schweingruber - Khadutte River - LASI - ITRDB RUSS092,67.47,76.77,20,LASI,1585,1990
4346,RUSS126,"Schweingruber - Bilibina, Mali Anuj River - LAGM - ITRDB RUSS126",67.47,167.67,450,LAGM,1432,1991
3586,AK032,Jacoby - Arrigetch - PCGL - ITRDB AK032,67.45,-154.05,716,PCGL,1585,1990
4748,RUSS053,Schweingruber - Zhaschiviersk - LASI - ITRDB RUSS053,67.45,142.62,100,LASI,1311,1708
4013,FINL048,Meril‰inen - Sodankyl‰ Church - PISY - ITRDB FINL048,67.4,26.6,-999,PISY,1484,1688
3882,AK081,Lloyd - Dalton Highway Mile Post 184 - PCMA - ITRDB AK081,67.38,-150.1,385,PCMA,1848,2004
3881,AK080,Lloyd - Dalton Highway Mile Post 182 - PCMA - ITRDB AK080,67.35,-150.05,387,PCMA,1861,2003
12464,AK106,Jacoby - Sukak Pak - PCGL - ITRDB AK106,67.35,-149.4667,,PCGL,952,1979
4661,RUSS102,Schweingruber - Srednie-Kolymsk - LAGM - ITRDB RUSS102,67.25,153.7,50,LAGM,1556,1991
